#WAVENUMBER	 TRANSMITTANCE
#cm^(-1)	 %
#DECIMALSYMBOL	 .
622.4796	 0.0276
622.9618	 0.1210
623.4440	 0.1561
623.9261	 0.1579
624.4083	 0.1210
624.8905	 0.0434
625.3726	 0.0109
625.8548	 0.0450
626.3370	 0.0733
626.8192	 0.0460
627.3013	 0.0666
627.7835	 0.1309
628.2657	 0.1027
628.7478	 0.0604
629.2300	 0.0570
629.7122	 0.0524
630.1943	 0.0862
630.6765	 0.1057
631.1587	 0.0537
631.6408	 0.0037
632.1230	 0.0092
632.6052	 0.0043
633.0873	 -0.0013
633.5695	 0.0559
634.0517	 0.0919
634.5339	 0.1136
635.0160	 0.1550
635.4982	 0.1454
635.9804	 0.1271
636.4625	 0.1002
636.9447	 0.0579
637.4269	 0.0965
637.9090	 0.1720
638.3912	 0.1576
638.8734	 0.0889
639.3555	 0.0900
639.8377	 0.1323
640.3199	 0.1109
640.8020	 0.0320
641.2842	 0.0171
641.7664	 0.0646
642.2485	 0.0490
642.7307	 0.0013
643.2129	 0.0174
643.6951	 0.0735
644.1772	 0.1019
644.6594	 0.0762
645.1416	 0.0369
645.6237	 0.0105
646.1059	 -0.0180
646.5881	 -0.0007
647.0702	 0.0638
647.5524	 0.0793
648.0346	 0.0950
648.5167	 0.1310
648.9989	 0.0873
649.4811	 0.0387
649.9632	 0.0203
650.4454	 0.0100
650.9276	 0.0341
651.4098	 0.0355
651.8919	 0.0403
652.3741	 0.0814
652.8563	 0.0653
653.3384	 0.0201
653.8206	 0.0277
654.3028	 0.0644
654.7849	 0.0996
655.2671	 0.1042
655.7493	 0.1006
656.2314	 0.0936
656.7136	 0.0717
657.1958	 0.0793
657.6779	 0.0863
658.1601	 0.0416
658.6423	 -0.0273
659.1244	 -0.0264
659.6066	 0.0512
660.0888	 0.0998
660.5710	 0.1369
661.0531	 0.1624
661.5353	 0.1268
662.0175	 0.0616
662.4996	 -0.0003
662.9818	 0.0192
663.4640	 0.0938
663.9461	 0.1071
664.4283	 0.0575
664.9105	 0.0095
665.3926	 0.0052
665.8748	 0.0459
666.3570	 0.0783
666.8391	 0.1003
667.3213	 0.1123
667.8035	 -0.0925
668.2857	 -0.0622
668.7678	 0.0382
669.2500	 0.0375
669.7322	 0.0396
670.2143	 0.0365
670.6965	 0.0248
671.1787	 0.0567
671.6608	 0.0811
672.1430	 0.0495
672.6252	 0.0501
673.1073	 0.0885
673.5895	 0.0909
674.0717	 0.0711
674.5538	 0.0683
675.0360	 0.0528
675.5182	 0.0236
676.0003	 0.0376
676.4825	 0.0626
676.9647	 0.0717
677.4469	 0.0794
677.9290	 0.0787
678.4112	 0.0614
678.8934	 0.0343
679.3755	 0.0745
679.8577	 0.1063
680.3399	 0.0534
680.8220	 0.0049
681.3042	 -0.0037
681.7864	 0.0168
682.2685	 0.0666
682.7507	 0.0752
683.2329	 0.0473
683.7150	 0.0461
684.1972	 0.0661
684.6794	 0.0593
685.1616	 0.0553
685.6437	 0.0384
686.1259	 0.0230
686.6081	 0.0343
687.0902	 0.0537
687.5724	 0.0360
688.0546	 -0.0023
688.5367	 0.0057
689.0189	 0.0146
689.5011	 0.0031
689.9832	 0.0133
690.4654	 0.0076
690.9476	 -0.0199
691.4297	 -0.0095
691.9119	 0.0308
692.3941	 0.0381
692.8762	 0.0391
693.3584	 0.0395
693.8406	 0.0052
694.3228	 0.0155
694.8049	 0.0553
695.2871	 0.0380
695.7693	 0.0258
696.2514	 0.0412
696.7336	 0.0293
697.2158	 0.0352
697.6979	 0.0802
698.1801	 0.1041
698.6623	 0.0773
699.1444	 0.0559
699.6266	 0.0697
700.1088	 0.0803
700.5909	 0.0467
701.0731	 0.0051
701.5553	 0.0235
702.0375	 0.0491
702.5196	 0.0329
703.0018	 -0.0004
703.4840	 -0.0355
703.9661	 -0.0213
704.4483	 0.0281
704.9305	 0.0296
705.4126	 0.0054
705.8948	 0.0047
706.3770	 0.0334
706.8591	 0.0668
707.3413	 0.0525
707.8235	 0.0168
708.3056	 0.0149
708.7878	 0.0354
709.2700	 0.0394
709.7521	 0.0313
710.2343	 0.0264
710.7165	 0.0152
711.1987	 0.0063
711.6808	 0.0078
712.1630	 0.0290
712.6452	 0.0597
713.1273	 0.0430
713.6095	 0.0030
714.0917	 -0.0050
714.5738	 -0.0025
715.0560	 -0.0050
715.5382	 -0.0015
716.0203	 0.0194
716.5025	 0.0409
716.9847	 0.0187
717.4668	 0.0048
717.9490	 0.0598
718.4312	 0.1025
718.9134	 0.0792
719.3955	 0.0589
719.8777	 0.0791
720.3599	 0.0849
720.8420	 0.0675
721.3242	 0.0729
721.8064	 0.0656
722.2885	 0.0332
722.7707	 -0.0031
723.2529	 -0.0439
723.7350	 -0.0366
724.2172	 0.0064
724.6994	 0.0429
725.1815	 0.0393
725.6637	 -0.0056
726.1459	 -0.0184
726.6280	 0.0020
727.1102	 0.0312
727.5924	 0.0628
728.0746	 0.0946
728.5567	 0.1042
729.0389	 0.0787
729.5211	 0.0560
730.0032	 0.0190
730.4854	 -0.0066
730.9676	 0.0272
731.4497	 0.0554
731.9319	 0.0473
732.4141	 0.0298
732.8962	 0.0155
733.3784	 0.0194
733.8606	 0.0216
734.3427	 0.0241
734.8249	 0.0481
735.3071	 0.0766
735.7893	 0.0705
736.2714	 0.0301
736.7536	 0.0317
737.2358	 0.0494
737.7179	 0.0394
738.2001	 0.0268
738.6823	 0.0110
739.1644	 -0.0200
739.6466	 -0.0334
740.1288	 -0.0108
740.6109	 0.0126
741.0931	 0.0332
741.5753	 0.0375
742.0574	 0.0408
742.5396	 0.0446
743.0218	 0.0036
743.5039	 -0.0227
743.9861	 0.0030
744.4683	 0.0350
744.9505	 0.0639
745.4326	 0.0551
745.9148	 0.0115
746.3970	 0.0127
746.8791	 0.0379
747.3613	 0.0160
747.8435	 -0.0237
748.3256	 -0.0370
748.8078	 -0.0326
749.2900	 -0.0317
749.7721	 -0.0244
750.2543	 -0.0245
750.7365	 -0.0443
751.2186	 -0.0235
751.7008	 0.0139
752.1830	 0.0239
752.6652	 0.0165
753.1473	 0.0124
753.6295	 0.0231
754.1117	 0.0187
754.5938	 0.0608
755.0760	 0.0697
755.5582	 0.0393
756.0403	 0.0585
756.5225	 0.0563
757.0047	 0.0401
757.4868	 0.0349
757.9690	 0.0283
758.4512	 0.0189
758.9333	 0.0292
759.4155	 0.0354
759.8977	 0.0390
760.3798	 0.0443
760.8620	 -0.0026
761.3442	 -0.0375
761.8264	 0.0037
762.3085	 0.0449
762.7907	 0.0419
763.2729	 0.0340
763.7550	 0.0559
764.2372	 0.0453
764.7194	 -0.0110
765.2015	 -0.0300
765.6837	 -0.0032
766.1659	 0.0323
766.6480	 0.0491
767.1302	 0.0272
767.6124	 0.0033
768.0945	 0.0270
768.5767	 0.0445
769.0589	 0.0241
769.5411	 0.0154
770.0232	 0.0393
770.5054	 0.0626
770.9876	 0.0445
771.4697	 0.0291
771.9519	 0.0511
772.4341	 0.0623
772.9162	 0.0402
773.3984	 0.0183
773.8806	 0.0244
774.3627	 0.0465
774.8449	 0.0601
775.3271	 0.0446
775.8092	 0.0196
776.2914	 0.0162
776.7736	 0.0247
777.2557	 0.0394
777.7379	 0.0583
778.2201	 0.0784
778.7023	 0.0780
779.1844	 0.0477
779.6666	 0.0082
780.1488	 -0.0108
780.6309	 -0.0105
781.1131	 -0.0150
781.5953	 -0.0117
782.0774	 0.0011
782.5596	 0.0153
783.0418	 0.0239
783.5239	 0.0346
784.0061	 0.0554
784.4883	 0.0573
784.9704	 0.0379
785.4526	 0.0426
785.9348	 0.0480
786.4170	 0.0187
786.8991	 0.0159
787.3813	 0.0479
787.8635	 0.0519
788.3456	 0.0357
788.8278	 0.0291
789.3100	 0.0176
789.7921	 -0.0074
790.2743	 -0.0139
790.7565	 0.0312
791.2386	 0.0747
791.7208	 0.0590
792.2030	 0.0284
792.6851	 0.0278
793.1673	 0.0190
793.6495	 0.0045
794.1316	 0.0168
794.6138	 0.0257
795.0960	 0.0216
795.5782	 0.0166
796.0603	 0.0369
796.5425	 0.0433
797.0247	 0.0215
797.5068	 0.0271
797.9890	 0.0240
798.4712	 -0.0051
798.9533	 -0.0149
799.4355	 0.0073
799.9177	 0.0066
800.3998	 -0.0213
800.8820	 -0.0201
801.3642	 0.0010
801.8463	 0.0225
802.3285	 0.0432
802.8107	 0.0599
803.2929	 0.0553
803.7750	 0.0272
804.2572	 -0.0043
804.7394	 -0.0139
805.2215	 0.0057
805.7037	 0.0066
806.1859	 -0.0006
806.6680	 0.0204
807.1502	 0.0439
807.6324	 0.0334
808.1145	 -0.0050
808.5967	 -0.0238
809.0789	 -0.0023
809.5610	 0.0279
810.0432	 0.0403
810.5254	 0.0435
811.0076	 0.0496
811.4897	 0.0406
811.9719	 0.0068
812.4541	 0.0063
812.9362	 0.0177
813.4184	 -0.0007
813.9006	 0.0122
814.3827	 0.0390
814.8649	 0.0256
815.3471	 -0.0120
815.8292	 -0.0259
816.3114	 0.0060
816.7936	 0.0303
817.2757	 0.0330
817.7579	 0.0432
818.2401	 0.0630
818.7222	 0.0767
819.2044	 0.0507
819.6866	 0.0420
820.1688	 0.0666
820.6509	 0.0514
821.1331	 0.0348
821.6153	 0.0206
822.0974	 0.0063
822.5796	 0.0204
823.0618	 0.0212
823.5439	 0.0355
824.0261	 0.0680
824.5083	 0.0671
824.9904	 0.0503
825.4726	 0.0436
825.9548	 0.0416
826.4369	 0.0246
826.9191	 0.0089
827.4013	 0.0139
827.8835	 0.0181
828.3656	 0.0079
828.8478	 -0.0043
829.3300	 -0.0057
829.8121	 0.0139
830.2943	 0.0532
830.7765	 0.0571
831.2586	 0.0152
831.7408	 0.0046
832.2230	 0.0239
832.7051	 0.0369
833.1873	 0.0389
833.6695	 0.0251
834.1516	 0.0026
834.6338	 -0.0099
835.1160	 0.0193
835.5981	 0.0488
836.0803	 0.0309
836.5625	 0.0055
837.0447	 -0.0062
837.5268	 -0.0100
838.0090	 0.0126
838.4912	 0.0312
838.9733	 0.0224
839.4555	 0.0201
839.9377	 0.0358
840.4198	 0.0547
840.9020	 0.0370
841.3842	 -0.0060
841.8663	 -0.0259
